source_id	page_id	revision_id	revision_timestamp	revision_sha1	title	canonical_url	revision_url	acquisition_rows	disposition
wiki:fextralife:page-21999:revision-757274	21999	757274	2026-08-21T21:21:00Z	ef7ace8c969ce26e680c7a2c43c089cce5bf0cae	Nascent Butterfly	https://eldenring.wiki.fextralife.com/Nascent_Butterfly	https://eldenring.wiki.fextralife.com/Nascent_Butterfly?oldid=757274	34	lead_only
wiki:fextralife:page-22127:revision-756608	22127	756608	2026-08-21T21:07:42Z	30d3e2b999b583ab354ede62dc636ef26ca5c55d	Call of Tibia	https://eldenring.wiki.fextralife.com/Call_of_Tibia	https://eldenring.wiki.fextralife.com/Call_of_Tibia?oldid=756608	7	lead_only
wiki:fextralife:page-22142:revision-757218	22142	757218	2026-08-21T21:19:55Z	43cf62589b7dac991ac9b0351f58400d06910402	Talisman Pouch	https://eldenring.wiki.fextralife.com/Talisman_Pouch	https://eldenring.wiki.fextralife.com/Talisman_Pouch?oldid=757218	6	lead_only
wiki:fextralife:page-22344:revision-756664	22344	756664	2026-08-21T21:08:51Z	91fc8c264a59d3e960ce18a0b45d7cdeba1722cd	Gravity Stone Fan	https://eldenring.wiki.fextralife.com/Gravity_Stone_Fan	https://eldenring.wiki.fextralife.com/Gravity_Stone_Fan?oldid=756664	11	lead_only
wiki:fextralife:page-22435:revision-757554	22435	757554	2026-08-21T21:26:28Z	cc497ad3f48d1bc38fba7c4e6026ba659a7b8ce5	Arrow	https://eldenring.wiki.fextralife.com/Arrow	https://eldenring.wiki.fextralife.com/Arrow?oldid=757554	23	lead_only
wiki:fextralife:page-22521:revision-756701	22521	756701	2026-08-21T21:09:35Z	8ecc1a6472ec7f683a97a94a01f7d8d7fba4e88c	Rune Arc	https://eldenring.wiki.fextralife.com/Rune_Arc	https://eldenring.wiki.fextralife.com/Rune_Arc?oldid=756701	67	lead_only
wiki:fextralife:page-22728:revision-756726	22728	756726	2026-08-21T21:10:05Z	318f607aa484a020caf0c4a922b511e42f87ee92	Thawfrost Boluses	https://eldenring.wiki.fextralife.com/Thawfrost_Boluses	https://eldenring.wiki.fextralife.com/Thawfrost_Boluses?oldid=756726	15	lead_only
wiki:fextralife:page-22810:revision-757283	22810	757283	2026-08-21T21:21:11Z	7c62401361203eb9e92fd9330d373f206ac21be3	Sacramental Bud	https://eldenring.wiki.fextralife.com/Sacramental_Bud	https://eldenring.wiki.fextralife.com/Sacramental_Bud?oldid=757283	39	lead_only
wiki:fextralife:page-22902:revision-757436	22902	757436	2026-08-21T21:24:11Z	a0263772e5953537d261f41e3bf4c620b0eb7eab	Sacred Tear	https://eldenring.wiki.fextralife.com/Sacred_Tear	https://eldenring.wiki.fextralife.com/Sacred_Tear?oldid=757436	17	lead_only
wiki:fextralife:page-22908:revision-758292	22908	758292	2026-08-21T21:43:48Z	c5b59f4f42d78720a372ccecfd79e40ccd73f5e6	Erdtree Seal	https://eldenring.wiki.fextralife.com/Erdtree_Seal	https://eldenring.wiki.fextralife.com/Erdtree_Seal?oldid=758292	21	lead_only
wiki:fextralife:page-22912:revision-757267	22912	757267	2026-08-21T21:20:52Z	84338b2476ccc7083f5b3042b5b8ea1613521a79	Knot Resin	https://eldenring.wiki.fextralife.com/Knot_Resin	https://eldenring.wiki.fextralife.com/Knot_Resin?oldid=757267	25	lead_only
wiki:fextralife:page-22950:revision-756678	22950	756678	2026-08-21T21:09:08Z	2a2b36f57f3c0aa8738a9d12887031bd51c70f11	Kukri	https://eldenring.wiki.fextralife.com/Kukri	https://eldenring.wiki.fextralife.com/Kukri?oldid=756678	23	lead_only
wiki:fextralife:page-23132:revision-757284	23132	757284	2026-08-21T21:21:12Z	85fc3320519e4f8f0cdfebe96a7e95e34f1ebe2f	Sanguine Amaryllis	https://eldenring.wiki.fextralife.com/Sanguine_Amaryllis	https://eldenring.wiki.fextralife.com/Sanguine_Amaryllis?oldid=757284	9	lead_only
wiki:fextralife:page-23162:revision-756630	23162	756630	2026-08-21T21:08:08Z	5d8e88f0df93507bfc95b5a5dc9b2a3f1235b093	Exalted Flesh	https://eldenring.wiki.fextralife.com/Exalted_Flesh	https://eldenring.wiki.fextralife.com/Exalted_Flesh?oldid=756630	13	lead_only
wiki:fextralife:page-23258:revision-758345	23258	758345	2026-08-21T21:44:58Z	cdacd3a79f8d30f8bb6baaeab89243097069badf	Great Omenkiller Cleaver	https://eldenring.wiki.fextralife.com/Great_Omenkiller_Cleaver	https://eldenring.wiki.fextralife.com/Great_Omenkiller_Cleaver?oldid=758345	72	lead_only
wiki:fextralife:page-23325:revision-756728	23325	756728	2026-08-21T21:10:07Z	0da8300b24acffb468b639a76498c247504c6e3b	Throwing Dagger	https://eldenring.wiki.fextralife.com/Throwing_Dagger	https://eldenring.wiki.fextralife.com/Throwing_Dagger?oldid=756728	23	lead_only
